tourney_name,tourney_date,surface,tourney_level,round,winner_name,loser_name,winner_rank,loser_rank,score,best_of,court,location
BNP Paribas Open,20250307,Hard,Masters 1000,1st Round,Goffin D.,Sonego L.,56,37.0,6-4 7-5,3,Outdoor,Indian Wells
BNP Paribas Open,20250307,Hard,Masters 1000,2nd Round,Popyrin A.,Bergs Z.,27,53.0,7-6 7-5,3,Outdoor,Indian Wells
BNP Paribas Open,20250307,Hard,Masters 1000,2nd Round,Giron M.,Ruud C.,48,5.0,7-6 3-6 6-2,3,Outdoor,Indian Wells
BNP Paribas Open,20250307,Hard,Masters 1000,2nd Round,Berrettini M.,O Connell C.,29,75.0,6-2 7-6,3,Outdoor,Indian Wells
BNP Paribas Open,20250307,Hard,Masters 1000,2nd Round,Michelsen A.,Smith C.,32,261.0,6-3 6-4,3,Outdoor,Indian Wells
BNP Paribas Open,20250307,Hard,Masters 1000,2nd Round,Norrie C.,Lehecka J.,77,24.0,3-6 6-4 7-5,3,Outdoor,Indian Wells
BNP Paribas Open,20250308,Hard,Masters 1000,2nd Round,Shapovalov D.,Walton A.,28,96.0,6-3 6-2,3,Outdoor,Indian Wells
BNP Paribas Open,20250308,Hard,Masters 1000,2nd Round,Arnaldi M.,Rublev A.,35,8.0,6-4 7-5,3,Outdoor,Indian Wells
BNP Paribas Open,20250308,Hard,Masters 1000,2nd Round,Cerundolo F.,McDonald M.,26,109.0,4-6 7-6 6-1,3,Outdoor,Indian Wells
BNP Paribas Open,20250308,Hard,Masters 1000,2nd Round,Alcaraz C.,Halys Q.,3,59.0,6-4 6-2,3,Outdoor,Indian Wells
BNP Paribas Open,20250308,Hard,Masters 1000,2nd Round,Van De Zandschulp B.,Djokovic N.,85,7.0,6-2 3-6 6-1,3,Outdoor,Indian Wells
BNP Paribas Open,20250308,Hard,Masters 1000,2nd Round,Hurkacz H.,Gaston H.,22,93.0,7-5 6-3,3,Outdoor,Indian Wells
BNP Paribas Open,20250308,Hard,Masters 1000,2nd Round,Draper J.,Fonseca J.,14,80.0,6-4 6-0,3,Outdoor,Indian Wells
BNP Paribas Open,20250308,Hard,Masters 1000,2nd Round,Medvedev D.,Bu Y.,6,71.0,6-2 6-2,3,Outdoor,Indian Wells
BNP Paribas Open,20250308,Hard,Masters 1000,2nd Round,Fils A.,Diallo G.,21,88.0,6-2 6-2,3,Outdoor,Indian Wells
BNP Paribas Open,20250308,Hard,Masters 1000,2nd Round,Nakashima B.,Hijikata R.,33,83.0,7-5 6-1,3,Outdoor,Indian Wells
BNP Paribas Open,20250308,Hard,Masters 1000,2nd Round,Rune H.,Moutet C.,13,79.0,6-2 6-4,3,Outdoor,Indian Wells
BNP Paribas Open,20250308,Hard,Masters 1000,2nd Round,Tsitsipas S.,Seyboth Wild T.,9,91.0,6-2 6-4,3,Outdoor,Indian Wells
